type,value,status
SHOULD,dcat:Dataset dcat:contactPoint,used
SHOULD,dcat:Dataset dcat:distribution,used
SHOULD,dcat:Dataset dcat:keyword,used
SHOULD,dcat:Dataset dcat:theme,used
SHOULD,dcat:Catalog dct:publisher,unused
SHOULD,dcat:DataService dcat:servesDataset,unused
SHOULD,dcat:Dataset dcat:inSeries,unused
SHOULD,dcat:Dataset dct:publisher,unused
SHOULD,dcat:Dataset dct:spatial,unused
SHOULD,dcat:Dataset dct:temporal,unused
SHOULD,dcat:Dataset dpv:hasData,unused
SHOULD,dcat:DatasetSeries dct:publisher,unused
SHOULD,dcat:DatasetSeries dct:spatial,unused
SHOULD,dcat:Distribution dct:description,unused
SHOULD,dcat:Distribution dct:format,unused
SHOULD,dcat:Distribution dct:license,unused
SHOULD,dct:LicenseDocument dct:type,unused
SHOULD,dct:PeriodOfTime dcat:endDate,unused
SHOULD,dct:PeriodOfTime dcat:startDate,unused
SHOULD,foaf:Agent dct:type,unused
