type,name,parent
class,dcat:DataService,
class,dcat:Distribution,
class,dcterms:MediaType,
class,dcterms:MediaTypo,
class,ex:NonConcept,
class,skos:Concept,
class,skos:Concepto,
property,adms:status,dcat:Distribution
property,dcat:accessService,dcat:Distribution
property,dcat:accessURL,dcat:Distribution
property,dcat:accessURL,dcterms:MediaType
property,dcat:mediaType,dcat:Distribution
property,dcat:mediaType,dcterms:MediaType
property,dcatap:availability,dcat:Distribution
property,dcatap:availability,skos:Concept
property,dcterms:title,dcat:DataService
property,dcterms:title,dcat:Distribution
property,dcterms:title,dcterms:MediaType
property,dcterms:title,dcterms:MediaTypo
property,skos:prefLabel,ex:NonConcept
property,skos:prefLabel,skos:Concept
property,skos:prefLabel,skos:Concepto
