type,name,parent
property,dcat:contactPoint,dcat:Dataset
property,dcat:distribution,dcat:Dataset
property,dcat:endDate,dct:PeriodOfTime
property,dcat:inSeries,dcat:Dataset
property,dcat:keyword,dcat:Dataset
property,dcat:startDate,dct:PeriodOfTime
property,dcat:theme,dcat:Dataset
property,dct:description,dcat:Distribution
property,dct:format,dcat:Distribution
property,dct:license,dcat:Distribution
property,dct:publisher,dcat:Dataset
property,dct:spatial,dcat:Dataset
property,dct:temporal,dcat:Dataset
