type,value,status
Entity,dcat:DataService,used
Entity,dcat:Distribution,used
Entity,dcat:Distribution adms:status,used
Entity,dcat:Distribution dcat:accessService,used
Entity,dcat:Distribution dcat:accessURL,used
Entity,dcat:Distribution dcat:mediaType,used
Entity,dcat:Distribution dcatap:availability,used
Entity,dcat:Distribution dcterms:title,used
Entity,dcterms:MediaType,used
Entity,skos:Concept,used
Entity,skos:Concept skos:prefLabel,used
Entity,adms:Identifier,unused
Entity,adms:Identifier skos:notation,unused
Entity,dcat:Dataset,unused
Entity,dcat:Dataset adms:identifier,unused
Entity,dcat:Dataset adms:sample,unused
Entity,dcat:Dataset adms:versionNotes,unused
Entity,dcat:Dataset dcat:contactPoint,unused
Entity,dcat:Dataset dcat:distribution,unused
Entity,dcat:Dataset dcat:inSeries,unused
Entity,dcat:Dataset dcat:keyword,unused
Entity,dcat:Dataset dcat:landingPage,unused
Entity,dcat:Dataset dcat:spatialResolutionInMeters,unused
Entity,dcat:Dataset dcat:temporalResolution,unused
Entity,dcat:Dataset dcat:theme,unused
Entity,dcat:Dataset dcatap:applicablelegislation,unused
Entity,dcat:Dataset dcterms:accessRights,unused
Entity,dcat:Dataset dcterms:accrualPeriodicity,unused
Entity,dcat:Dataset dcterms:conformsTo,unused
Entity,dcat:Dataset dcterms:creator,unused
Entity,dcat:Dataset dcterms:description,unused
Entity,dcat:Dataset dcterms:hasVersion,unused
Entity,dcat:Dataset dcterms:identifier,unused
Entity,dcat:Dataset dcterms:isReferencedBy,unused
Entity,dcat:Dataset dcterms:isVersionOf,unused
Entity,dcat:Dataset dcterms:issued,unused
Entity,dcat:Dataset dcterms:language,unused
Entity,dcat:Dataset dcterms:modified,unused
Entity,dcat:Dataset dcterms:provenance,unused
Entity,dcat:Dataset dcterms:publisher,unused
Entity,dcat:Dataset dcterms:relation,unused
Entity,dcat:Dataset dcterms:source,unused
Entity,dcat:Dataset dcterms:spatial,unused
Entity,dcat:Dataset dcterms:temporal,unused
Entity,dcat:Dataset dcterms:title,unused
Entity,dcat:Dataset dcterms:type,unused
Entity,dcat:Dataset foaf:page,unused
Entity,dcat:Dataset ns1:hasData,unused
Entity,dcat:Dataset owl:versionInfo,unused
Entity,dcat:Dataset prov:qualifiedAttribution,unused
Entity,dcat:Dataset prov:qualifiedRelation,unused
Entity,dcat:Dataset prov:wasGeneratedBy,unused
Entity,dcat:DatasetSeries,unused
Entity,dcat:DatasetSeries dcat:contactPoint,unused
Entity,dcat:DatasetSeries dcatap:applicablelegislation,unused
Entity,dcat:DatasetSeries dcterms:accrualPeriodicity,unused
Entity,dcat:DatasetSeries dcterms:description,unused
Entity,dcat:DatasetSeries dcterms:issued,unused
Entity,dcat:DatasetSeries dcterms:modified,unused
Entity,dcat:DatasetSeries dcterms:publisher,unused
Entity,dcat:DatasetSeries dcterms:spatial,unused
Entity,dcat:DatasetSeries dcterms:title,unused
Entity,dcat:Distribution dcat:byteSize,unused
Entity,dcat:Distribution dcat:compressFormat,unused
Entity,dcat:Distribution dcat:downloadURL,unused
Entity,dcat:Distribution dcat:packageFormat,unused
Entity,dcat:Distribution dcat:spatialResolutionInMeters,unused
Entity,dcat:Distribution dcat:temporalResolution,unused
Entity,dcat:Distribution dcatap:applicablelegislation,unused
Entity,dcat:Distribution dcterms:conformsTo,unused
Entity,dcat:Distribution dcterms:description,unused
Entity,dcat:Distribution dcterms:format,unused
Entity,dcat:Distribution dcterms:issued,unused
Entity,dcat:Distribution dcterms:language,unused
Entity,dcat:Distribution dcterms:license,unused
Entity,dcat:Distribution dcterms:modified,unused
Entity,dcat:Distribution dcterms:rights,unused
Entity,dcat:Distribution foaf:page,unused
Entity,dcat:Distribution odrl:hasPolicy,unused
Entity,dcat:Distribution spdx:checksum,unused
Entity,dcat:Relationship,unused
Entity,dcat:Relationship dcat:qualifiedRelation,unused
Entity,dcat:Resource,unused
Entity,dcterms:Frequency,unused
Entity,dcterms:LicenseDocument,unused
Entity,dcterms:LicenseDocument dcterms:type,unused
Entity,dcterms:LinguisticSystem,unused
Entity,dcterms:Location,unused
Entity,dcterms:Location dcat:bbox,unused
Entity,dcterms:Location dcat:centroid,unused
Entity,dcterms:Location locn:geometry,unused
Entity,dcterms:MediaTypeOrExtent,unused
Entity,dcterms:PeriodOfTime,unused
Entity,dcterms:PeriodOfTime dcat:endDate,unused
Entity,dcterms:PeriodOfTime dcat:startDate,unused
Entity,dcterms:PeriodOfTime time:hasBeginning,unused
Entity,dcterms:PeriodOfTime time:hasEnd,unused
Entity,dcterms:ProvenanceStatement,unused
Entity,dcterms:RightsStatement,unused
Entity,dcterms:Standard,unused
Entity,eli:LegalResource,unused
Entity,foaf:Agent,unused
Entity,foaf:Agent dcterms:type,unused
Entity,foaf:Agent foaf:name,unused
Entity,foaf:Document,unused
Entity,locn:Geometry,unused
Entity,ns1:Data,unused
Entity,odrl:Policy,unused
Entity,prov:Activity,unused
Entity,prov:Attribution,unused
Entity,spdx:Checksum,unused
Entity,vcard:Kind,unused
