type,value,status
COULD,dcat:Distribution adms:status,used
COULD,dcat:Distribution dcat:accessService,used
COULD,dcat:Distribution dcat:mediaType,used
COULD,dcat:Distribution dcatap:availability,used
COULD,dcat:Distribution dct:title,used
COULD,dcat:Dataset adms:identifier,unused
COULD,dcat:Dataset adms:sample,unused
COULD,dcat:Dataset adms:versionNotes,unused
COULD,dcat:Dataset dcat:landingPage,unused
COULD,dcat:Dataset dcat:spatialResolutionInMeters,unused
COULD,dcat:Dataset dcat:temporalResolution,unused
COULD,dcat:Dataset dcatap:applicablelegislation,unused
COULD,dcat:Dataset dct:accessRights,unused
COULD,dcat:Dataset dct:accrualPeriodicity,unused
COULD,dcat:Dataset dct:conformsTo,unused
COULD,dcat:Dataset dct:creator,unused
COULD,dcat:Dataset dct:hasVersion,unused
COULD,dcat:Dataset dct:isReferencedBy,unused
COULD,dcat:Dataset dct:isVersionOf,unused
COULD,dcat:Dataset dct:issued,unused
COULD,dcat:Dataset dct:language,unused
COULD,dcat:Dataset dct:modified,unused
COULD,dcat:Dataset dct:provenance,unused
COULD,dcat:Dataset dct:relation,unused
COULD,dcat:Dataset dct:source,unused
COULD,dcat:Dataset dct:type,unused
COULD,dcat:Dataset dpv:hasData,unused
COULD,dcat:Dataset foaf:page,unused
COULD,dcat:Dataset owl:versionInfo,unused
COULD,dcat:Dataset prov:qualifiedAttribution,unused
COULD,dcat:Dataset prov:qualifiedRelation,unused
COULD,dcat:Dataset prov:wasGeneratedBy,unused
COULD,dcat:DatasetSeries dct:issued,unused
COULD,dcat:DatasetSeries dct:modified,unused
COULD,dcat:Distribution dcat:byteSize,unused
COULD,dcat:Distribution dcat:compressFormat,unused
COULD,dcat:Distribution dcat:downloadURL,unused
COULD,dcat:Distribution dcat:packageFormat,unused
COULD,dcat:Distribution dcat:spatialResolutionInMeters,unused
COULD,dcat:Distribution dcat:temporalResolution,unused
COULD,dcat:Distribution dcatap:applicablelegislation,unused
COULD,dcat:Distribution dct:conformsTo,unused
COULD,dcat:Distribution dct:issued,unused
COULD,dcat:Distribution dct:language,unused
COULD,dcat:Distribution dct:modified,unused
COULD,dcat:Distribution dct:rights,unused
COULD,dcat:Distribution foaf:page,unused
COULD,dcat:Distribution odrl:hasPolicy,unused
COULD,dcat:Distribution spdx:checksum,unused
COULD,dct:PeriodOfTime time:hasBeginning,unused
COULD,dct:PeriodOfTime time:hasEnd,unused
