type,value,status
SHOULD,dcat:Dataset dcat:contactPoint,used
SHOULD,dcat:Dataset dcat:distribution,used
SHOULD,dcat:Dataset dcat:inSeries,used
SHOULD,dcat:Dataset dcat:keyword,used
SHOULD,dcat:Dataset dcat:theme,used
SHOULD,dcat:Dataset dct:publisher,used
SHOULD,dcat:Dataset dct:spatial,used
SHOULD,dcat:Dataset dct:temporal,used
SHOULD,dcat:Distribution dct:description,used
SHOULD,dcat:Distribution dct:format,used
SHOULD,dcat:Distribution dct:license,used
SHOULD,dct:PeriodOfTime dcat:endDate,used
SHOULD,dct:PeriodOfTime dcat:startDate,used
SHOULD,dct:LicenseDocument dct:type,unused
SHOULD,dct:Location dcat:bbox,unused
SHOULD,dct:Location dcat:centroid,unused
SHOULD,foaf:Agent dct:type,unused
