type,name,parent
property,adms:identifier,dcat:Dataset
property,adms:sample,dcat:Dataset
property,adms:status,dcat:Distribution
property,adms:versionNotes,dcat:Dataset
property,dcat:accessService,dcat:Distribution
property,dcat:byteSize,dcat:Distribution
property,dcat:compressFormat,dcat:Distribution
property,dcat:downloadURL,dcat:Distribution
property,dcat:landingPage,dcat:Dataset
property,dcat:mediaType,dcat:Distribution
property,dcat:packageFormat,dcat:Distribution
property,dcat:service,dcat:Catalog
property,dcat:spatialResolutionInMeters,dcat:Dataset
property,dcat:spatialResolutionInMeters,dcat:Distribution
property,dcat:temporalResolution,dcat:Dataset
property,dcat:temporalResolution,dcat:Distribution
property,dcatap:applicablelegislation,dcat:Dataset
property,dcatap:applicablelegislation,dcat:DatasetSeries
property,dcatap:applicablelegislation,dcat:Distribution
property,dcatap:availability,dcat:Distribution
property,dct:accessRights,dcat:Dataset
property,dct:accrualPeriodicity,dcat:Dataset
property,dct:conformsTo,dcat:Dataset
property,dct:conformsTo,dcat:Distribution
property,dct:creator,dcat:Catalog
property,dct:creator,dcat:Dataset
property,dct:hasVersion,dcat:Dataset
property,dct:isReferencedBy,dcat:Dataset
property,dct:issued,dcat:Dataset
property,dct:issued,dcat:DatasetSeries
property,dct:issued,dcat:Distribution
property,dct:language,dcat:Dataset
property,dct:language,dcat:Distribution
property,dct:license,dcat:Catalog
property,dct:modified,dcat:Dataset
property,dct:modified,dcat:DatasetSeries
property,dct:modified,dcat:Distribution
property,dct:provenance,dcat:Dataset
property,dct:relation,dcat:Dataset
property,dct:rights,dcat:Distribution
property,dct:source,dcat:Dataset
property,dct:title,dcat:Distribution
property,dct:type,dcat:Dataset
property,dpv:hasData,dcat:Dataset
property,foaf:page,dcat:Dataset
property,foaf:page,dcat:Distribution
property,odrl:hasPolicy,dcat:Distribution
property,owl:versionInfo,dcat:Dataset
property,prov:qualifiedAttribution,dcat:Dataset
property,prov:qualifiedRelation,dcat:Dataset
property,prov:wasGeneratedBy,dcat:Dataset
property,spdx:checksum,dcat:Distribution
property,time:hasBeginning,dct:PeriodOfTime
property,time:hasEnd,dct:PeriodOfTime
