type,name,parent
property,dcat:bbox,dct:Location
property,dcat:centroid,dct:Location
property,dcat:contactPoint,dcat:Dataset
property,dcat:distribution,dcat:Dataset
property,dcat:endDate,dct:PeriodOfTime
property,dcat:inSeries,dcat:Dataset
property,dcat:keyword,dcat:Dataset
property,dcat:servesDataset,dcat:Dataset
property,dcat:startDate,dct:PeriodOfTime
property,dcat:theme,dcat:Dataset
property,dct:description,dcat:Distribution
property,dct:format,dcat:Distribution
property,dct:license,dcat:Distribution
property,dct:publisher,dcat:Catalog
property,dct:publisher,dcat:Dataset
property,dct:publisher,dcat:DatasetSeries
property,dct:spatial,dcat:Dataset
property,dct:spatial,dcat:DatasetSeries
property,dct:temporal,dcat:Dataset
property,dct:type,dct:LicenseDocument
property,dct:type,foaf:Agent
property,dpv:hasData,dcat:Dataset
